Date,pos,neg,neu,compound
2000-03-08,0.0790487804878049,0.0712682926829268,0.8496829268292684,0.0828951219512195
2000-03-09,0.0721590909090909,0.0602272727272727,0.8675909090909092,0.1241613636363637
2000-03-10,0.0798,0.040575,0.8797000000000003,0.3138175
2000-03-11,0.075,0.0499729729729729,0.8750810810810813,0.1248405405405405
2000-03-12,0.0769,0.0367666666666666,0.8862666666666666,0.1875233333333333
2000-03-13,0.0484333333333333,0.0568,0.8947666666666667,0.0556366666666666
2000-03-14,0.0819811320754716,0.0370943396226415,0.8809433962264152,0.2931452830188679
2000-03-15,0.0967826086956521,0.0359782608695652,0.8672391304347826,0.3066065217391303
2000-03-16,0.0837391304347826,0.0388260869565217,0.8773913043478262,0.2947195652173914
2000-03-17,0.0824666666666666,0.0323333333333333,0.8852222222222222,0.3236622222222222
